mes_compra,p_compra,mes_venta,p_venta,usd,pesos_final,ganancia,error_ganancia,error_ganancia_pct
Ene-2023,826.34,Mar-2023,809.50,1210.65,980629.54,-19370.46,1009.18,5.21
Ene-2023,826.34,Abr-2023,803.84,1210.65,973365.62,-26634.38,594.24,2.23
Ene-2023,826.34,May-2023,798.64,1210.65,967312.35,-32687.65,834.04,2.55
Ene-2023,826.34,Jun-2023,799.87,1210.65,968523.00,-31477.00,555.91,1.77
Ene-2023,826.34,Jul-2023,813.40,1210.65,984261.50,-15738.50,889.00,5.65
Ene-2023,826.34,Ago-2023,855.66,1210.65,1036319.61,36319.61,838.18,2.31
Ene-2023,826.34,Sep-2023,884.40,1210.65,1070217.92,70217.92,924.39,1.32
Ene-2023,826.34,Oct-2023,926.35,1210.65,1121065.38,121065.38,884.83,0.73
Ene-2023,826.34,Nov-2023,886.61,1210.65,1073849.88,73849.88,914.20,1.24
Ene-2023,826.34,Dic-2023,874.67,1210.65,1059322.03,59322.03,835.53,1.41
Ene-2023,826.34,Ene-2024,907.99,1210.65,1099273.61,99273.61,464.41,0.47
Ene-2023,826.34,Feb-2024,963.44,1210.65,1165859.56,165859.56,1012.14,0.61
Ene-2023,826.34,Mar-2024,967.93,1210.65,1171912.83,171912.83,566.94,0.33
Ene-2023,826.34,Abr-2024,960.14,1210.65,1162227.60,162227.60,647.67,0.40
Ene-2023,826.34,May-2024,917.88,1210.65,1111380.15,111380.15,602.58,0.54
Ene-2023,826.34,Jun-2024,926.08,1210.65,1121065.38,121065.38,558.11,0.46
Ene-2023,826.34,Jul-2024,937.56,1210.65,1135593.22,135593.22,1000.18,0.74
Ene-2023,826.34,Ago-2024,929.90,1210.65,1125907.99,125907.99,584.34,0.46
Ene-2023,826.34,Sep-2024,926.21,1210.65,1121065.38,121065.38,715.45,0.59
Ene-2023,826.34,Oct-2024,933.81,1210.65,1130750.61,130750.61,695.32,0.53
Ene-2023,826.34,Nov-2024,971.60,1210.65,1176755.45,176755.45,968.64,0.55
Ene-2023,826.34,Dic-2024,982.30,1210.65,1188861.99,188861.99,852.25,0.45
Ene-2023,826.34,Ene-2025,1000.76,1210.65,1210653.75,210653.75,1417.53,0.67
Ene-2023,826.34,Feb-2025,956.62,1210.65,1158595.64,158595.64,936.94,0.59
Ene-2023,826.34,Mar-2025,932.55,1210.65,1129539.95,129539.95,1009.81,0.78
Ene-2023,826.34,Abr-2025,961.96,1210.65,1164648.91,164648.91,527.63,0.32
Ene-2023,826.34,May-2025,941.01,1210.65,1139225.18,139225.18,480.84,0.35
Ene-2023,826.34,Jun-2025,938.04,1210.65,1135593.22,135593.22,515.67,0.38
